"company_number","index_membership","se_code","name"
9229,0,"LEBA  1","Le Riche Group"
9230,0,"TETEGH2","Teather & Greenwood Holdings"
9231,0,"UNUXM Q","Universal Salvage plc"
9232,0,"VEPE  C","Versailles Group plc"
9233,0,"WYWE  Q","Wynnstay Properties"
9234,0,"MANXFIB","Manx Financial Group plc"
9235,0,"ALBXE L","Albemarle & Bond Hldgs plc"
9236,0,"NWAA  6","NWF Group plc"
9237,0,"REVEASA","Revenue Assurance Services"
9238,0,"PARHJ B","Park Estates(Liverpool)1995"
9239,0,"ECOANHV","Eco Animal Health Group plc"
9240,0,"VCAAS 1","VDC plc"
9241,0,"PAJS  W","Pan Andean Resources plc"
9242,2,"TYMPLCU","Tyman plc"
9243,0,"PUHK  E","Pubs 'N' Bars plc"
9244,0,"ATJJ  Q","Atlantic Caspian Resources"
9245,0,"MEUJF O","Metrodome Group plc"
9246,0,"UNDIL 1","Univent plc"
9247,0,"MEIRM A","Meltek Group plc"
9248,0,"BOVY  K","Bowness Leisure plc"
9250,0,"FAST  K","Farlake Group plc"
9251,0,"CRCSP P","Crown Sports plc"
9252,0,"MUTUM 1","Murray VCT plc"
9253,0,"PEDIK K","Pemberstone plc"
9254,0,"ASAREG","Asa Resource Group plc"
9255,0,"ABDB  A","Abacus Recruitment plc"
9256,0,"BILHOLG","Billington Holdings plc"
9257,0,"CITRADT","C.I. Traders"
9258,0,"CAEQR H","Caledonian Trust plc"
9259,0,"CEDHC X","Celtic plc"
9260,0,"COMPRPL","ComProp plc"
9261,0,"CRLRH S","Crown Products plc"
9262,0,"PAPMR D","Panmure Gordon & Co"
9264,0,"GUKY  3","Guiton Group plc"
9265,0,"FIRPRPD","First Property Group"
9267,0,"SYXF  T","Systems International Group"
9268,0,"MIMPM M","Minster Pharmaceuticals plc"
9270,0,"BAETH 8","Baltimore Technologies plc"
9271,0,"KSBIO 7","K S Biomedix plc"
9272,0,"CWZZZ 3","CW Residential plc"
9273,0,"FUQG  R","Furlong Homes Group plc"
9275,0,"TRTRC P","Transcomm plc"
9276,0,"SOVW  V","Southern Vectis plc"
9277,0,"WENDM Q","Westmount Energy Ld"
9278,0,"PRPRM 1","Proteome Sciences plc"
9279,0,"JRNPLC","Journeo plc"
9280,0,"ASMH  Q","Ask Central plc"
9282,0,"MORRI Y","Morrison plc"
9283,0,"ENOU  O","Enterprise plc"
9284,0,"TRMVG 5","Trinity Care plc"
9285,3,"ABRDF ","abrdn Asia Focus plc"
9286,0,"INBYR *","Independent Radio Group plc"
9287,0,"GENCAP3","General Capital Group plc"
9288,0,"CRHKM 2","Creos International plc"
9289,0,"COCCS I","Coffee Republic plc"
9292,0,"IGDESI","IG Design Group plc"
9293,0,"INVEXTV","Investec Extra Income Trust"
9294,0,"NOPHC T","Northern Venture Trust plc"
9296,0,"EIGROU","Ei Group plc"
9297,0,"HESZ  V","Heritage Bathrooms plc"
9299,0,"BRITIHF","BRIT Insurance Hldgs N.V."
9301,0,"BAUGMA0","Baronsmead VCT plc"
9302,0,"VEOM  G","Vero Group plc"
9303,2,"SCESM E","Schroder AsiaPacific Fund plc"
9307,0,"MARVG Q","Martin Currie Japan Inv Tr"
9308,0,"LOLSM Z","London Town plc"
9309,0,"CHORIOT","Chorion plc"
9311,0,"LFTV  I","L Gardner Group plc"
9312,0,"RESQM S","Revelation Piccadilly Hldgs"
9314,0,"COYVE X","Cox Insurance Holdings plc"
9315,0,"ACACM N","Acambis plc"
9316,0,"JAQUF 6","Jasmin plc"
9317,0,"CMMP  Q","CMG plc"
9318,2,"ALNZTE2","Allianz Technology Trust plc"
9320,0,"CEBY  Z","Celebrated Group plc"
9321,0,"WILMGR","Wilmington plc"
9322,0,"FLPKM A","Flomerics Group plc"
9324,0,"GEAIM 4","Gearhouse Group plc"
9325,-1,"NAIPMTU","National Grid plc"
9327,0,"TOMEN S","TomCo Energy plc"
9328,0,"VIHN  G","Viewinn plc"
9329,0,"POGSM I","Polymasc Pharmaceuticals plc"
9330,0,"PARKRWJ","Park Row Group plc"
9331,0,"CELPF 2","Century Inns"
9332,0,"RESLL J","Reunion Mining plc"
9334,2,"VIEJM S","Victrex plc"
9335,0,"CABENP","Cabot Energy plc"
9336,0,"DEVALYJ","Dee Valley plc"
9337,0,"DEVALYJ","Dee Valley plc 'NV'"
9341,0,"DAKCM A","Dana Petroleum plc"
9343,0,"MEBXHM0","MediaKey plc"
9344,0,"JUJJE 4","Jumbo International plc"
9345,0,"JUPN  L","Jupiter Split Trust'Inc'"
9346,0,"JUPN  L","Jupiter Split Trust'Cap'"
9347,0,"CLSC  N","Clubhaus plc"
9348,0,"SHIREPL","Shire plc"
9349,0,"IODS  B","IOC International plc"
9350,0,"STWUX S","Streamline Holdings plc"
9351,0,"INTYCPG","Internet Technology Group pl"
9353,0,"MGFYF W","M & G Equity Inv Tr'Inc'"
9354,0,"MGFYF W","M & G Equity Inv Tr'Cap'"
9358,0,"STDFV K","Stadium Group plc"
9359,0,"LIFB  Z","Life Offices Opportunities"
9360,0,"MAAVJ P","Macdonald Hotels plc"
9361,2,"PRGPN Y","Primary Health Properties"
9363,0,"FUNTT 7","Fulmar plc"
9365,0,"PEJXM 8","Perpetual Income & Growth In"
9366,0,"FARSGHO","Farsight plc"
9367,0,"TRJYM U","Triad Group plc"
9368,0,"MMYAM 6","Mms Petroleum plc"
9369,0,"JPMFAW6","JPMorgan Fleming Worldwide"
9371,0,"FIRBAMT","First Information Group plc"
9372,0,"EAVYM W","Easynet Group plc"
9373,0,"NUNUM U","Numis Corporation plc"
9374,0,"INGTH J","INVESCO Income Growth Trust"
9375,0,"HIIMM J","Hill Samuel UK Emerging Cos"
9376,0,"IRIRG B","Ire-Tex Group plc"
9377,0,"ORAW  C","Orange plc"
9379,0,"CHHJC *","Chelsea Village plc"
9380,0,"SIRVISK","SiRVis IT plc"
9381,0,"MANROP0","Manroy plc"
9382,0,"KOFCKIT","Kofax plc"
9383,0,"FORSIVL","Foresight 3 VCT"
9384,0,"BRNVV 2","British Smaller Cos VCT"
9385,0,"ORTVCTC","Ortus VCT plc"
9386,0,"KAYVCTV","Kings Arms Yard VCT plc"
9387,0,"MOMMUL","Momentum Multi-Asset Val Tst"
9388,0,"AVUL  S","Avocet Mining plc"
9389,0,"HATBF W","Harvey Nichols Group plc"
9390,0,"LABWM H","La Senza plc"
9391,0,"ALBVCTG","Albion Venture Capital Trust"
9392,0,"ELDRSTX","Elderstreet Millennium VCT"
9393,0,"CAHMD L","Cambridge Water plc"
9394,0,"CAHMD L","Cambridge Water plc'NVOrd'"
9395,0,"DOWNING","Downing Income VCT 3"
9396,0,"XAXAN *","Xansa plc"
9398,0,"CLPK  4","Cliveden plc"
9400,0,"REURG R","Rensburg VCT"
9402,0,"REBYG E","Rebus Group plc"
9403,0,"ROGYF K","Romtec plc"
9405,0,"BLUPONO","Blue Planet Fin Grw&Inc IT"
9406,0,"DAGKP Q","Dairy Crest Group"
9407,0,"SOLFM 9","Somerfield plc"
9408,0,"CHIYC S","Chemical Design Holdings plc"
9409,0,"DEJUM V","Dentmaster Holdings plc"
9410,0,"GAEH  H","Gall Thomson Environmental"
9411,0,"BARZT *","Barbican Healthcare plc"
9412,0,"PROGRPZ","Profile Media Group plc"
9413,0,"THRSM 3","Thorn plc"
9414,0,"PRCCP A","Premier Asset Management plc"
9415,0,"MIIWZ D","Millennium & Copthorne Hotel"
9416,0,"IXIPL E","IXICO plc"
9417,0,"SIMYM A","Sira Business Services plc"
9418,0,"STPRF Z","Stentor plc"
9419,0,"VIVTX B","virt-x plc"
9420,0,"WASW  6","Waterfall Holdings plc"
9421,0,"MSKID P","MSB International plc"
9422,0,"DOWONEE","Downing ONE VCT plc"
9423,0,"REFWM F","Reflec plc"
9424,0,"MAFKV 9","Maiden Group plc"
9425,0,"VEVER 0","Vernalis Group plc"
9426,0,"COUTHD*","Coutts Holdings plc"
9427,0,"TOHVG *","Tom Hoskins plc"
9428,0,"GAMP  W","Gartmore Select Japanese Inv"
9430,0,"JUSXA V","Just Group plc"
9431,0,"THPMF V","Thomas Potts plc"
9432,0,"AIHV  R","AIM Trust plc"
9433,0,"RTGRP 7","RT Group plc"
9434,0,"HESBF W","Hercules Property Services"
9436,0,"LUMGRPV","Luminar Group Holdings plc"
9437,0,"MUCBM U","Mulberry Group plc"
9438,0,"EPPLCG9","Epic Group plc"
9439,0,"HEOIO Z","Henderson TR Pacific Inv'C'"
9440,0,"SVGCAP5","SVG Capital plc"
9441,0,"PRIZB 6","Prism Rail plc"
9442,0,"PRPTG 9","Protagona plc"
9443,0,"RENNUN8","RENN Universal Growth Inv Tr"
9444,0,"WHOQ  O","Whitecross Group plc"
9445,0,"INBTATH","Independent Energy Holdings"
9448,0,"CASJAAM","Carisbrooke Shipping plc"
9449,0,"SEABF F","S E A Multimedia Ld"
9451,0,"EUSC  9","European Telecom plc"
9452,0,"DIAMLIK","Diamond Lifestyle Holdings"
9453,0,"CAMXYSY","CamAxys Group"
9454,0,"PPVV  R","PPL Therapeutics plc"
9455,3,"FIBHF T","Fidelity Asian Values plc"
9457,0,"RIEI  3","Richmond Foods plc"
9458,0,"THLOM S","Theo Fennell plc"
9459,0,"LAIWH K","Lands Improvement Holdings p"
9460,0,"FIAOC A","Fibernet Group plc"
9461,0,"ADLWW R","ADL plc"
9462,0,"CIMHH M","City Technology Holdings plc"
9464,0,"PRPRC V","Protec plc"
9465,0,"SIJVM 9","Sinclair Montrose Healthcare"
9466,0,"STEPF B","Staffware plc"
9467,0,"SOLIDS2","Solid State plc"
9468,0,"WHUL  7","Whittard of Chelsea plc"
9469,0,"PAPIC 4","Pace plc"
9470,0,"JAQB  Z","Jarvis Hotels plc"
9471,0,"PARSQ 9","Parseq plc"
9472,0,"SUHGM 3","Sun Life & Provincial"
9473,0,"VNRIP Q","Vocalis Group plc"
9474,0,"INBTA 1","Independent British Hlthcare"
9476,0,"NDVX  R","N E C A Holdings plc"
9477,0,"AFAN  1","AFA Systems plc"
9478,0,"CONBG J","Concurrent Technologies plc"
9479,0,"DRTT  0","Drings of Bath plc"
9480,0,"CIIKF 4","Cirqual plc"
9481,0,"SESVG 8","7 Group plc"
9482,0,"SCEPLE4","Sceptre Leisure plc"
9483,0,"FAYVM D","Fayrewood plc"
9484,0,"BELHVNZ","Belhaven Group plc"
9485,0,"BRDQQ 1","British Energy Group"
9487,0,"HATWF 1","Hat Pin plc"
9488,0,"ALHBL V","Alizyme plc"
9489,0,"LIFAF W","XL Communications plc"
9490,0,"UNVXM J","UNO plc"
9491,0,"ALLX  U","Allied Carpets Group plc"
9493,0,"QUUF  9","Quintain Estates & Dvlpments"
9494,0,"JOURGR4","Journey Group plc"
9495,0,"DAGRP S","DA Group plc"
9496,0,"ROBIF O","Robert Walters plc"
9497,0,"ATHQF Y","Atkins (WS) plc"
9498,0,"PLGEM A","Plasmon plc"
9499,0,"XAQK  U","Xavier Computer Group plc"
9500,0,"ANDOF R","AND International Publishers"
9501,0,"HIOYE F","HIT Entertainment plc"
9502,0,"NEFHF F","Network Technology plc"
9503,0,"EIDOS S","Eidos plc"
9504,0,"SCFSS Q","Schroder Emerging Countries"
9506,0,"WALKCGA","Walker Crips Group plc"
9507,0,"VALUH R","Value Realisation Trust"
9508,0,"SOSPE 8","Sopheon plc"
9509,0,"GRPVM O","Grosvenor Land Hldgs"
9510,0,"WEBES D","Weeks Group plc"
9511,0,"AEAAM B","AEA Technology plc"
9512,0,"BRTRM 7","Brunner Mond plc"
9513,0,"SHAJP N","Shalibane plc"
9514,0,"DEHMF W","Deltron Electronics plc"
9515,0,"TRICPLM","Tricor plc"
9516,1,"IMPBRA","Imperial Brands plc"
9517,0,"EUBZE 8","Eurasia Mining plc"
9518,0,"AISM  W","Airtech plc"
9520,0,"ORMZ  O","Oriental Restaurant plc"
9521,2,"ULIX  D","Ultra Electronics Holdings"
9522,3,"MEAGM A","Mears Group plc"
9523,0,"THOV  1","Thistle Hotels plc"
9524,0,"CHATAYA","Charles Taylor plc"
9525,0,"LANZN Q","Lavendon Group plc"
9526,0,"FIWYU B","Fitness First plc"
9527,0,"VIEIE K","Victory Corporation plc"
9528,0,"ATRTIAV","Atrium Underwriting plc"
9530,0,"HEDF  E","Healthcare Reform plc"
9531,1,"JDSFP 4","JD Sports Fashion plc"
9532,0,"LODD  A","Loftus Road plc"
9533,0,"BEDFM Q","Beechcroft plc"
9534,0,"DEDAM P","Deep-Sea Leisure plc"
9535,0,"CORENE1","Corero Network Security plc"
9536,0,"JAPWM J","Jardinerie Interiors Group p"
9537,0,"DATCSH6","DataCash Group plc"
9538,0,"GUGUL P","Gullane Entertainment plc"
9539,0,"BEBFG L","Beaufort Intnl Group"
9540,0,"BRCBB H","Brands Hatch plc"
9541,0,"NAKWIN","Naked Wines plc"
9542,0,"SCLHM K","Scottish Highland Hotels plc"
9543,0,"LIJH  E","Limelight plc"
9544,0,"OLMC  K","Oliver Ashworth plc"
9545,0,"ACDPF W","Access Plus plc"
9546,0,"BAUNH 0","Barrasford Holdings"
9547,0,"DRWEM P","Druid Group"
9548,0,"PROHD B","Provend Group"
9549,0,"EXJP  B","Exeter Investment Group"
9550,0,"STDAV 8","St.David's Investment Trust"
9551,0,"MUYZA E","MV Sports Group plc"
9552,0,"GRCTS X","Grantchester Holdings plc"
9553,0,"CHFTM 7","Charterhouse Communications"
9554,0,"FUSSS H","Future Integrated Telephony"
9555,0,"APCTGR4","APC Technology Group plc"
9556,0,"CAQNB X","Car Group plc"
9557,0,"GOTH  H","Goshawk Insurance Holdings"
9558,0,"MIMLH K","Minerva plc"
9559,0,"RECWP R","Recycling Services Group plc"
9560,0,"SEEPD Y","Second St David's Inv Tr'Cap"
9561,0,"DASBM X","Dawn Til Dusk Holdings"
9562,0,"IMPASSA","Impax Asset Management Group"
9563,0,"TESSLAC","Teesland plc"
9564,1,"AVAVV P","AVEVA Group plc"
9565,0,"ARFEK 4","Archer Dedicated plc"
9566,0,"PASPF D","Parkwood Holdings"
9567,0,"COLTGR0","Colt Group S.A."
9568,0,"SDSUC *","SDX Business Systems plc"
9569,3,"KICXM 4","Kier Group"
9570,3,"OXBE  T","Oxford Biomedica plc"
9571,0,"YEPH  W","Yeoman Group plc"
9572,2,"POPCT E","Polar Capital Technology Tr"
9574,0,"RICRPL","Ridgecrest plc"
9575,0,"BASJSDC","Barclays Global Inv Endw 2"
9576,0,"NEEKH 1","Netcall plc"
9577,0,"ONLBLO","Online Blockchain plc"
9578,0,"CRLQC B","Crown Leisure plc"
9579,0,"FOFNT B","Fountains plc"
9580,0,"LILX  V","Linden plc"
9581,0,"XEHU  *","Xenova Group plc"
9582,0,"AQNS  N","Aquarius Group plc"
9583,0,"SUJDM 4","Sunderland plc"
9584,0,"SUHAR ","Sutton Harbour Group plc"
9585,0,"HARUBLW","Hardy Underwriting Bermuda"
9586,0,"SAOT  R","Sanctuary Music Prodns"
9587,0,"GBIM  R","GB Railways Group"
9589,0,"JODVM S","John Lewis of Hungerford"
9590,0,"PRBYF B","Prelude Trust plc"
9591,0,"WEFNQ K","West Bromwich Albion"
9592,0,"KEYSTN0","Keystone Solutions Group"
9593,0,"IMVQA Z","IMS Group plc"
9594,0,"CBYK  E","C & B Publishing plc"
9595,0,"LAXYIN4","Laxey Investment Trust (The)"
9596,1,"CEKOM U","Centrica plc"
9597,0,"IZIZO 7","Izodia plc"
9598,0,"OPDGRP*","OPD Group plc"
9599,0,"ENFIF S","Energy Group (The) plc"
9600,0,"PIRINVT","Pires Investments plc"
9601,0,"RUALIX","RUA Life Sciences plc"
9602,0,"HOQTC 3","Howle Holdings plc"
9603,0,"NOEMN B","Nord Anglia Education"
9604,0,"VFAG  M","VFG plc"
9605,0,"CECEN M","CeNes Pharmaceuticals plc"
9606,0,"PETTA V","Petards Group plc"
9607,0,"TRTYS G","Transacsys plc"
9608,0,"BION  5","Birmingham City plc"
9609,0,"CAMMI 8","Cambridge Mineral Resources"
9610,0,"DOAGP 8","Dobbies Garden Centres"
9611,0,"USRY  G","Usher's of Trowbridge plc"
9612,3,"AUFMI B","Aurora Investment Trust"
9613,0,"LITFRT0","Liontrust First UK Inv Tr"
9614,0,"MGKPU Y","M & G High Income'Inc'"
9615,0,"MGKPU Y","M & G High Income'Cap'"
9616,0,"DOHCF 9","Donatantonio plc"
9617,0,"KBRIU R","KBC Advanced Technologies"
9618,0,"LOIUF U","London Bridge Software"
9619,0,"TOOLJ S","Total Office Group"
9620,0,"CHEEM F","Charlton Athletic plc"
9621,0,"QEAAG 6","Q Group (The) plc"
9622,0,"DIBEE *","Diagonal plc"
9623,0,"HEAQ  H","Heal's plc"
9624,0,"RDRDR M","Redde plc"
9625,0,"PREKP U","Prestbury Group plc"
9626,0,"CAHBT S","Cambridge Antibody Tech Gp"
9627,0,"PTHMINQ","Pathfinder Minerals plc"
9628,0,"AVSM  0","Avis Europe plc"
9629,0,"WHQL  Z","Whitehead Mann plc"
9630,0,"WORXU N","World Telecom plc"
9631,0,"ABYI  D","Aberdeen Preferred Income Tr"
9632,0,"ALLDETU","Allianz Dresdner 2 Endw 2009"
9633,0,"ALBPRIN","Albion Prime VCT plc"
9634,0,"HATBD 1","Harvey Nash Group plc"
9635,0,"OXFDTAA","Oxford Technology VCT"
9636,0,"TOLQH U","Torch Holdings plc"
9637,0,"ENVTLC4","Envesta Telecom plc"
9638,0,"MUTUP T","Murray VCT 2"
9639,0,"SIBPQ 9","Sibir Energy plc"
9640,0,"UNPOF G","United Overseas Group"
9641,0,"IVTYF 6","Ivory & Sime Optimum Inc Tr"
9642,0,"HANDM 6","Handmade plc"
9643,0,"ARGNTI0","ArgentVive plc"
9644,0,"NMYAS C","NMT Group plc"
9645,0,"ALJOF 7","Alliance & Leicester plc"
9646,0,"LEKL  V","Leicester City plc"
9647,0,"COGQS V","Comino Group plc"
9648,0,"LADOP Y","Lady in Leisure Group"
9649,0,"QUSHRSO","Qualceram Shires plc"
9650,0,"AVBR  K","Avalon Oil plc"
9651,0,"NEGKD *","Newcastle United plc"
9652,0,"CAANP T","Cable & Wireless Commnctns"
9653,0,"PATTF N","Partners Holdings plc"
9654,0,"MARUP 4","Martin Currie Inc&Gr'Inc'"
9655,0,"MARUP 4","Martin Currie Inc&Gr'Cap'"
9656,0,"DRDP  L","Dragons Health Clubs plc"
9657,3,"PETDMD","Petra Diamonds Ltd"
9658,0,"ALPHYR0","Alphyra Group"
9659,0,"ASVSM R","Aston Villa plc"
9660,0,"GLBCD E","Gladstone plc"
9661,0,"NEWMRKH","Newmark Security plc"
9662,3,"TOKZF Z","Topps Tiles plc"
9663,0,"HEEHJ E","Heart of Midlothian plc"
9664,0,"INKLW N","Integrated Asset Management"
9665,0,"DOWNABR","Downing Absolute Inc VCT 1"
9666,0,"EAGL  9","Eagles plc"
9667,0,"ADORIAG","Adorian plc"
9668,0,"GREATF7","Greatfleet plc"
9669,0,"SAHYF 6","Salehurst plc"
9670,3,"PHAENE","Pharos Energy plc"
9671,0,"HBOPLCI","HBOS plc"
9672,0,"PEFFG X","Pennine AIM VCT II plc"
9673,0,"GAEMB X","Gallaher Group plc"
9674,0,"SBVAD N","SBS Group plc"
9675,0,"FIDESGX","Fidessa Group plc"
9676,0,"INOVN 9","International Biotechnlgy'C'"
9677,0,"NORQ  6","Norwich Union plc"
9678,0,"HIABR 4","Highland Timber plc"
9679,0,"PORZU U","Powderject Pharmaceutical"
9680,3,"BIOTGTH","Biotech Growth Trust (The)"
9681,0,"SGOO  N","SGB Group plc"
9682,0,"EVEVG R","Evolution Group The"
9683,0,"PORTTT5","Portrait Software plc"
9684,0,"BACQ  E","Bakery Services plc"
9685,0,"ASHY  D","Ashtenne Holdings plc"
9686,0,"WOMA  4","Woolwich plc"
9687,0,"PRHOKED","Primesight plc"
9688,0,"WAWCRX5","Warner Chilcott plc"
9689,0,"CAIAQ Z","Cammell Laird"
9690,0,"DELCAMP","Delcam plc"
9691,0,"HIPKEXC","Hitachi Capital (UK) plc"
9692,0,"GEAG  6","Geared Income Inv Tr'Inc' pl"
9693,0,"HEJL  G","Helicon Publishing plc"
9694,0,"PYEA  4","Pycraft & Arnold Hldgs"
9695,0,"IORUMOB","Ionica plc"
9696,0,"BHPBLP","BHP Group plc"
9697,0,"CIIRA L","Citadel Holdings plc"
9698,0,"KIKWF B","Kingfisher Leisure plc"
9699,0,"GRNA  O","Gremlin Group plc"
9700,3,"TEDCA S","Ted Baker plc"
9701,0,"SAVILEG","Savile Group plc"
9702,0,"METVLE*","Metroline plc"
9703,0,"LELTY U","Learning Technology plc"
9704,0,"FAIJ  T","Fairfield Enterprises plc"
9705,0,"CACMIPS","Capital Mangmnt & Investment"
9706,0,"ENPH  8","Enterprise VCT"
9707,0,"AFEPLC","Afentra plc"
9708,0,"LAIUK L","Landround plc"
9709,0,"STYVR R","Style Holdings plc"
9710,0,"DFOURT","D4t4 Solutions plc"
9711,3,"JPAGIP","JPMorgan Asia Growth & Inc"
9712,0,"COMCM 3","Computerland UK plc"
9713,0,"ARCB  Q","Aram Resources plc"
9714,0,"SCYSGP","SCISYS Group plc"
9715,0,"AGJCM R","Aggreko plc"
9716,0,"NORRO 3","Northern Rock plc"
9717,0,"LAMMP I","Latchways plc"
9718,0,"CRCDM Z","Creative Publishing plc"
9719,0,"ACGROPZ","Active Energy Group plc"
9720,0,"AVNCPTQ","Avanti Capital plc"
9721,0,"NSGN  H","NSB Retail Systems plc"
9722,0,"SHMVO U","SHL Group plc"
9723,0,"BLUEWW0","Blue Planet Worldwide Fincl"
9724,0,"NOSJ  Y","Nottingham Forest plc"
9725,0,"SOJYF N","Solitaire Group"
9726,0,"NEQKB 9","Newsquest plc"
9727,3,"XAAR  X","Xaar plc"
9728,0,"BCKLM 6","BCH Group"
9729,0,"NYIC  T","Nycomed Amersham NV plc"
9730,0,"ULMO  U","Ultraframe plc"
9731,0,"HOFAD O","Holmes Place plc"
9732,0,"INIPS T","Intelliplus Group"
9733,0,"MAQF  D","Marlborough International"
9734,0,"CRHPAAU","Cresco International plc"
9735,0,"WOOXN S","Workplace Technology plc"
9736,0,"GYXF  0","Gyrus Group plc"
9737,0,"NOOUO 9","Northern Recruitment plc"
9738,0,"FOREVCG","Foresight VCT plc"
9739,0,"MINXD 2","Minorplanet Systems"
9740,0,"SAZJF T","Savoy Asset Management"
9741,0,"ADNWE U","Advance UK Trust"
9742,0,"CRBPM J","CRC Group plc"
9743,0,"BRASHPQ","Braemar Shipping Services"
9744,0,"TEQKL C","Tetra plc"
9745,0,"CAPLJ Q","Capital Opportunities plc"
9746,0,"CAPLJ Q","Capital Opportunities'C'plc"
9747,0,"ISPHA J","IS Pharma plc"
9748,0,"RAPAEEL","Range Cooker Co plc"
9749,0,"THRDFC1","ThirdForce plc"
9750,0,"MAPPE 2","Market Link Publishing"
9751,0,"SCWDN Y","ScS Upholstery plc"
9752,3,"MAJNXAE","Manchester & London Investment"
9753,0,"SEENN E","Second Scottish National"
9754,2,"VISGRO","Vistry Group plc"
9755,0,"COGSL 5","Comland Commercial plc"
9756,0,"OPWWA Z","Optoplast plc"
9758,0,"AUSZO M","Autologic Holdings plc"
9759,0,"SYYWJ S","Sytner Group plc"
9760,0,"HACAS 6","HACAS Group plc"
9761,0,"GOOTA *","Gooch & Housego plc"
9762,0,"MANFHA0","Marchpole Holdings plc"
9763,0,"NONTA Q","Northacre plc"
9764,0,"SAAWA 6","Saatchi & Saatchi plc"
9765,0,"ENDOA R","Energis plc"
9766,0,"BCXI  X","BCO Technologies plc"
9767,0,"WYSMH 0","Wyndham Motor Group"
9768,0,"BOIH  B","Bond International Software"
9769,0,"CLQHB G","Close Brothers VCT'C'"
9770,0,"LELIU N","LeggMason Inv Int Utl Tr Inc"
9771,0,"LOOBA O","Longmead Group plc"
9772,0,"DEBX  R","Debenhams plc"
9773,0,"ATGS  2","Athlone Extrusions plc"
9774,0,"EUTNI 4","EuroSov Energy plc"
9775,0,"MOFVB 8","Monsoon plc"
9776,0,"QUAUA 7","Quadrant Healthcare plc"
9777,0,"FIFIH R","FISH plc"
9778,0,"PEEUH *","Pennant International Group"
9779,0,"FORSIG","Foresight Enterprise VCT plc"
9780,0,"GUDY  F","Guardian IT"
9781,0,"OXAN  S","Oxford Asymmetry Intnl plc"
9782,0,"QUOZA W","Quester VCT 2"
9783,0,"FOODR 4","Food & Drink plc (The)"
9784,0,"PEBQA O","Peel Hotels plc"
9785,0,"SADQGBC","Safestore plc"
9786,0,"ARLAFD8","Arla Foods UK plc"
9787,0,"PROWM K","Provalis plc"
9788,0,"BARVET","Baronsmead Venture Trust plc"
9789,0,"VEROSO1","Vero Software plc"
9790,0,"CROWP W","Crown Place VCT plc"
9791,0,"MICBJ N","Micro Quoted Growth Trust"
9792,0,"INXVPCR","INVESCO Geared Opps"
9793,0,"OTNAA G","Ottakar's plc"
9794,0,"OXFM  Z","Oxford GlycoSciences plc"
9795,0,"ARQCN 2","ARM Holdings plc"
9796,0,"DELIG L","Desire Petroleum plc"
9797,1,"INFPLD8","Informa plc"
9798,0,"ABAA  *","AB Airlines plc"
9799,0,"ABMH  S","Aberdeen Convertible Inc'C'"
9801,0,"INVMG Q","Investment Management Hldgs"
9802,0,"COPLC 4","Convergent Communications"
9803,0,"GUJU  U","Guinness Flight VCT 1998"
9804,0,"LONRHOU","Lonrho plc"
9805,0,"AMCZV G","Ambishus Pub Company"
9806,0,"CLQEE M","Close Brothers AIM VCT"
9807,0,"ENTEEXZ","Enterprise VCT plc"
9808,0,"MAVU  E","Matalan plc"
9809,0,"DIIU  N","Dimension Resources plc"
9810,0,"INIAL E","Inter-Alliance Group"
9811,0,"TAOUC A","Taylor & Francis plc"
9812,0,"THQY  9","Thomson Travel plc"
9813,0,"TOTOU J","Touch Group"
9814,0,"ESFC  B","Eskmuir Properties plc"
9815,0,"MOLTEN","Molten Ventures VCT plc"
9816,0,"ICPI  Z","ICM Computer Group plc"
9817,0,"PEFFH U","Pennine Downing AIM VCT plc"
9818,2,"COLIBO2","Computacenter plc"
9819,0,"CITNRT3","City North Group plc"
9820,0,"ALLDEP1","Allianz Dresdner Endwmt 2010"
9821,0,"GAGWZ 8","Game plc"
9822,0,"QUEYH C","Quantica plc"
9823,0,"SERVOC4","Servoca plc"
9824,0,"JAFR  W","James R Knowles plc"
9825,0,"ITOJ  Z","ITNet plc"
9826,0,"GOMNN 4","Goldshield Group plc"
9827,0,"INXUZ Q","INVESCO Contl Smaller Cos Tr"
9828,0,"SUCTL D","Surfcontrol"
9829,0,"RTCGR A","RTC Group plc"
9830,0,"ISGPLCM","ISG plc"
9831,0,"BRNT  V","British Regional Air"
9832,0,"ANJOP T","Anglo Siberian Oil plc"
9833,0,"TCINT E","Tct International"
9834,3,"ABCICL","abrdn China Investment Co Ld"
9835,0,"NEKE  3","New Look Group plc"
9836,0,"ADMPAAR","AdVal Group plc"
9837,0,"HVVM  *","HW Group plc"
9838,0,"CAPLY I","Caplay plc"
9839,0,"FUFEI N","Fundamental-e Investments"
9840,0,"ECVL  U","ECsoft Group plc"
9841,0,"TOPHL Z","Touchstone Group plc"
9842,0,"SPRC  0","Sports&Outdoor Media Intnl"
9843,0,"SIFINA5","Sirius Financial Solutions"
9844,0,"COBEK 2","Coca-Cola Beverages plc"
9845,0,"BADCK H","Baldwins Industrial Services"
9846,0,"SELFR U","Selfridges plc"
9847,0,"SPSPG S","Springboard plc"
9848,0,"FFIELDL","Fortfield Investments"
9849,0,"TOMVA J","Torotrak plc"
9850,0,"MARCURP","Martin Currie High Income"
9851,0,"ALLINCC","Allianz Dresdner Income Gwth"
9852,2,"EDKD  P","Edinburgh Worldwide Inv Tr"
9853,0,"RYAHP ","Ryanair Holdings plc"
